,title,production_budget_in_mil,dom_gross_mil
0,Toy Story 3,200.0,415.0
1,Alice in Wonderland (2010),,334.2
2,Harry Potter and the Deathly Hallows Part 1,,296.0
3,Inception,160.0,292.6
4,Shrek Forever After,165.0,238.7
5,The Twilight Saga: Eclipse,68.0,300.5
6,Iron Man 2,170.0,312.4
7,Tangled,260.0,200.8
8,Despicable Me,69.0,251.5
9,How to Train Your Dragon,165.0,217.6
10,Clash of the Titans (2010),,163.2
11,The Chronicles of Narnia: The Voyage of the Dawn Treader,155.0,104.4
12,The King's Speech,,135.5
13,Tron Legacy,,172.1
14,The Karate Kid,40.0,176.6
15,The Karate Kid,8.0,176.6
16,Prince of Persia: The Sands of Time,,90.8
17,Black Swan,13.0,107.0
18,Megamind,130.0,148.4
19,Robin Hood,210.0,105.3
20,Robin Hood,99.0,105.3
21,The Last Airbender,150.0,131.8
22,Little Fockers,100.0,148.4
23,Resident Evil: Afterlife,57.5,60.1
24,Shutter Island,80.0,128.0
25,Salt,130.0,118.3
26,Sex and the City 2,95.0,95.3
27,The Tourist,100.0,67.6
28,The Expendables,82.0,103.1
29,Grown Ups,75.0,162.0
30,Knight & Day,,76.4
31,True Grit,35.0,171.2
32,Gulliver's Travels,112.0,42.8
33,Percy Jackson & The Olympians: The Lightning Thief,,88.8
34,The Social Network,40.0,97.0
35,Valentine's Day,52.0,110.5
36,The Sorcerer's Apprentice,160.0,63.2
37,Due Date,65.0,100.5
38,Eat Pray Love,60.0,80.6
39,Yogi Bear,80.0,100.2
40,Red,60.0,90.4
41,Paranormal Activity 2,3.0,84.8
42,The A-Team,110.0,77.2
43,Jackass 3-D,,117.2
44,The Other Guys,100.0,119.2
45,Unstoppable,95.0,81.6
46,Step Up 3-D,,42.4
47,The Book of Eli,80.0,94.8
48,The Town,37.0,92.2
49,Date Night,55.0,98.7
50,Legend of the Guardians: The Owls of Ga'Hoole,100.0,55.7
51,The Wolfman,150.0,62.0
52,The Bounty Hunter,45.0,67.099999
53,Saw 3D,17.0,45.7
54,Wall Street: Money Never Sleeps,,52.5
55,The Fighter,11.0,93.6
56,Predators,40.0,52.0
57,A Nightmare on Elm Street (2010),,63.1
58,Dear John,25.0,80.0
59,Cats & Dogs: The Revenge of Kitty Galore,85.0,43.6
60,Tooth Fairy,48.0,60.0
61,Life as We Know It,38.0,53.4
62,Hereafter,50.0,32.7
63,The Girl with the Dragon Tattoo,90.0,10.1
64,Love and Other Drugs,30.0,32.4
65,Aftershock (Tangshan Dadizhen),,0.063
66,Killers,75.0,47.1
67,Kick-Ass,28.0,48.1
68,Green Zone,100.0,35.1
69,Nanny McPhee Returns,,29.0
70,Get Him to the Greek,40.0,61.0
71,Burlesque,55.0,39.4
72,The Last Song,20.0,63.0
73,Dinner for Schmucks,69.0,73.0
74,Marmaduke,50.0,33.6
75,Piranha 3D,24.0,25.0
76,Oceans,80.0,19.4
77,Edge of Darkness,60.0,43.3
78,Vampires Suck,20.0,36.7
79,Letters to Juliet,30.0,53.0
80,The Back-Up Plan,,37.5
81,If You Are the One 2 (Fei Cheng Wu Rao II),,0.427
82,Diary of a Wimpy Kid,15.0,64.0
83,Easy A,8.0,58.4
84,Hubble 3D,,52.4
85,Takers,32.0,57.7
86,Tales from Earthsea,,0.0485
87,Legion (2010),,40.2
88,The American,20.0,35.6
89,The Last Exorcism,1.8,41.0
90,The Next Three Days,30.0,21.1
91,The Girl Who Played with Fire,,7.6
92,Skyline,10.0,21.4
93,Hot Tub Time Machine,36.0,50.3
94,Devil,10.0,33.6
95,127 Hours,18.0,18.3
96,Tyler Perry's Why Did I Get Married Too?,,60.1
97,Secretariat,35.0,59.7
98,The Ghost Writer,45.0,15.5
99,Morning Glory,40.0,31.0
100,Remember Me,16.0,19.1
101,Cop Out,37.0,44.9
102,The Crazies,19.0,39.1
103,From Paris with Love,,24.1
104,Daybreakers,20.0,30.1
105,Alpha and Omega,,25.1
106,The Switch,19.0,27.8
107,She's Out of My League,20.0,32.0
108,Death at a Funeral (2010),,42.7
109,How Do You Know,,30.2
110,Charlie St. Cloud,44.0,31.2
111,Scott Pilgrim vs. the World,,31.5
112,Heartbreaker,,0.504
113,The Spy Next Door,28.0,24.3
114,"The Good, the Bad, the Weird",,0.128
115,Machete,12.5,26.6
116,The Girl Who Kicked the Hornet's Nest,,5.2
117,The Man From Nowhere,,0.528
118,When in Rome,,32.7
