,title,avg_rating,total_votes,prod_budget_mil,dom_gross_mil,genres,profit_mil,ROI,ROI_abs,positive_ROI
0,Inception,8.55,1863252.0,160.0,293.0,"Action,Adventure,Sci-Fi",133.0,0.83125,0.83125,1.0
1,The Dark Knight Rises,8.05,1401702.0,275.0,448.0,"Action,Thriller",173.0,0.6290909090909091,0.6290909090909091,1.0
2,Interstellar,8.399999999999999,1317931.0,165.0,188.0,"Adventure,Drama,Sci-Fi",23.0,0.1393939393939394,0.1393939393939394,1.0
3,Django Unchained,8.2,1227130.0,100.0,163.0,"Drama,Western",63.0,0.63,0.63,1.0
4,The Avengers,7.85,1203328.0,225.0,623.0,"Action,Adventure,Sci-Fi",398.0,1.768888888888889,1.768888888888889,1.0
5,The Wolf Of Wall Street,8.05,1047769.0,100.0,117.0,"Biography,Crime,Drama",17.0,0.17,0.17,1.0
6,Shutter Island,8.1,1018585.0,80.0,128.0,"Mystery,Thriller",48.0,0.6,0.6,1.0
7,Guardians Of The Galaxy,8.0,966352.0,170.0,333.0,"Action,Adventure,Comedy",163.0,0.9588235294117647,0.9588235294117647,1.0
8,Deadpool,7.8,841022.0,58.0,363.0,"Action,Adventure,Comedy",305.0,5.258620689655173,5.258620689655173,1.0
9,The Hunger Games,7.15,809814.0,80.0,408.0,"Action,Adventure,Sci-Fi",328.0,4.1,4.1,1.0
10,Mad Max Fury Road,7.75,795364.0,150.0,154.0,"Action,Adventure,Sci-Fi",4.0,0.02666666666666667,0.02666666666666667,1.0
11,Gone Girl,8.0,772051.0,61.0,168.0,"Drama,Mystery,Thriller",107.0,1.7540983606557377,1.7540983606557377,1.0
12,The Hobbit An Unexpected Journey,7.550000000000002,731705.0,250.0,303.0,"Adventure,Family,Fantasy",53.0,0.212,0.212,1.0
13,Gravity,7.45,719604.0,110.0,274.0,"Drama,Sci-Fi,Thriller",164.0,1.490909090909091,1.490909090909091,1.0
14,Iron Man 3,7.050000000000002,706949.0,200.0,409.0,"Action,Adventure,Sci-Fi",209.0,1.045,1.045,1.0
15,Thor,6.85,696028.0,150.0,181.0,"Action,Adventure,Fantasy",31.0,0.20666666666666667,0.20666666666666667,1.0
16,The Martian,7.85,692288.0,108.0,228.0,"Adventure,Drama,Sci-Fi",120.0,1.1111111111111112,1.1111111111111112,1.0
17,Toy Story 3,8.0,690558.0,200.0,415.0,"Adventure,Animation,Comedy",215.0,1.075,1.075,1.0
18,Avengers Infinity War,8.4,684874.0,300.0,679.0,"Action,Adventure,Sci-Fi",379.0,1.2633333333333334,1.2633333333333334,1.0
19,Captain America The First Avenger,6.9,680947.0,140.0,177.0,"Action,Adventure,Sci-Fi",37.0,0.2642857142857143,0.2642857142857143,1.0
20,Avengers Age Of Ultron,7.3,679051.0,330.6,459.0,"Action,Adventure,Sci-Fi",128.39999999999998,0.3883847549909255,0.3883847549909255,1.0
21,Captain America The Winter Soldier,7.75,677286.0,170.0,260.0,"Action,Adventure,Sci-Fi",90.0,0.5294117647058824,0.5294117647058824,1.0
